"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",300,666.666666666667,230.124130021015,-255.405125538819,1135.93123734972,1031.61811999246,113.037934380975,172.039557793311,136.999318353722,0,20168.6716164572,143.126456034685,103.555858509457,25.8889646273642,291.467144021702
"2",251.195409735501,382.31012842958,226.699250496118,-174.9175175588,1075.57491709333,1132.25119308229,123.603929496893,185.405894245339,133.542195988354,0,20053.3132104914,215.974976809168,102.014662723253,25.5036656808133,310.390774036251
"3",274.675398881983,412.013098322975,219.518807260551,25.7411333316397,1319.54645273106,1340.92854654633,135.335645482623,220.393367679348,158.48726263083,0,19969.7867743814,244.532651344422,98.7834632672481,24.695865816812,307.959670604485
"4",300.745878850273,489.763039287439,245.734184141707,36.4420995985489,1368.65631880091,1486.49602697453,133.041665715909,239.379090412907,180.352692152597,0,19964.7533139854,274.216544492621,110.580382863768,27.6450957159421,276.1777088305
"5",295.648146035353,531.953534250905,257.304661777651,-71.8877519328075,1218.36246019571,1528.36385704753,129.348672129896,234.555133634055,185.915053534543,0,20001.6401443222,294.604975742475,115.787097799943,28.9467744499858,276.252408914382
"6",287.44149362199,521.233630297901,262.03584864977,-108.365771073604,1187.09067127539,1554.1462645138,128.150949670397,233.503495541383,179.301101036442,0,20027.0634500466,307.733557493217,117.916131892397,29.4790329730991,297.961385679085
"7",284.779888156437,518.896656758628,268.515644432971,-73.0167743079063,1261.70543084745,1618.68604874115,124.635204269401,244.236292630974,163.730910388852,0,20049.5330336771,317.68474066319,120.832039994837,30.2080099987093,314.853862204179
"8",276.967120598669,542.74731695772,240.543344519643,-210.213871595648,1007.52088221635,1535.65163011592,117.200832416007,219.093303321788,169.451182601516,0,20095.2129490007,304.9025396352,108.244505033839,27.0611262584598,291.73200337415
"9",260.446294257793,486.874007381751,251.8218934632,-169.745619914926,1073.43562237956,1511.0223300758,111.208318875837,217.41911911574,148.88318030204,0,20084.5253886654,304.691207857303,113.31985205844,28.32996301461,290.840172125065
"10",247.12959750186,483.153598034978,218.543620000281,-98.8332930290054,1057.30825505305,1521.91568635019,112.60430289243,223.152392537563,150.024402803429,0,20070.482155773,283.084459663036,98.3446290001266,24.5861572500317,278.422665450462
"11",250.231784205401,495.894205639028,227.06061891677,-15.434690599419,1172.84744003123,1593.62894423649,102.857534474838,240.946177872514,145.33413193506,0,20068.9924889674,278.215443909997,102.177278512547,25.5443196281367,270.143658743392
"12",228.572298832973,535.435950827808,219.64915605454,-92.7854313295419,1048.75092669984,1599.41998105392,105.999046590136,239.091788948739,128.654430379514,0,20106.696784258,270.794808682203,98.8421202245429,24.7105300561357,275.004899188977
"13",235.553436866969,531.315086552754,203.383762639429,-19.7842683927063,1106.80331750247,1642.59298081,101.184944808349,248.969956705076,134.726463887364,0,20139.4360637519,258.263069432802,91.522693187743,22.8806732969357,266.620941725827
"14",224.855432907442,553.266570455724,207.2422794612,-114.1971583395,1000.81878548873,1614.79063327442,91.859324144284,239.878577739572,127.263545549596,0,20192.8805002178,254.708709547657,93.2590257575402,23.3147564393851,265.911959922801
"15",204.131831431742,533.063506087938,184.45868854071,50.7465701874237,1092.44577425399,1713.15143685751,94.6489081492986,263.920428827497,124.217771690695,0,20225.3627965,238.230257980486,83.0064098433196,20.7516024608299,253.589241375162
"16",210.330906998441,586.489841838882,187.969406304331,210.419334891946,1418.67261643763,1999.4048034448,114.916533992704,328.925908812218,123.196564106157,0,20309.4400755649,233.275906192973,84.5862328369489,21.1465582092372,375.591641642814
