"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0,0,135,300,98.5087703390825,0,0,0
"2",0,0,0,135,300,96.8852830996952,0,0,0
"3",0,0,0,135,300,94.8655638841096,0,0,0
"4",24.2093019781061,34.5,-24.7378643355394,135,300,119.26273324703,0,0,3.88125
"5",178.844559713647,154.3125,-32.7472593276294,135,300,208.740950662428,0,0,13.47890625
"6",264.808393407611,300,-46.3556074076138,135,300,281.713312957689,0,0,16.38984375
"7",169.846023911215,300,25.4012428167169,135,300,222.843949958773,0,0,0
"8",171.279355869511,300,106.057370160812,135,300,180.707944154457,0,0,0
"9",200.252582718577,300,233.262678915109,135,300,157.457760543325,0,0,0
"10",126.691019751053,276,310.017001540701,135,300,144.921966136841,0,0,0
"11",0,0,288.35071631464,135,300,139.606470274223,0,0,0
"12",0,0,288.35071631464,135,300,136.999318353722,0,0,0
"13",0,0,0,113.037934380975,173.010429788784,135.075317454345,0,0,0
"14",0,0,0,113.037934380975,173.010429788784,133.409587565031,0,0,0
"15",0,0,0,113.037934380975,173.010429788784,129.802665225863,0,0,0
"16",11.6097473446372,23.2355754005338,-18.9076202041381,113.037934380975,173.010429788784,143.215310192868,0,0,2.61400223256005
"17",145.303045547869,131.092604455714,-30.3894046051202,113.037934380975,173.010429788784,219.250044329027,0,0,12.1339157687078
"18",230.04376293573,251.195409735501,-18.2944712188226,113.037934380975,173.010429788784,270.491324984201,0,0,13.511565593976
"19",206.719418917411,251.195409735501,105.08369820066,113.037934380975,173.010429788784,210.471741709935,0,0,0
"20",240.134154312447,251.195409735501,267.983131761015,113.037934380975,173.010429788784,170.873596863425,0,0,0
"21",201.400155449427,251.195409735501,410.831468840462,113.037934380975,173.010429788784,149.750756157161,0,0,0
"22",40.3646325858125,190.90851139898,420.322278158359,113.037934380975,173.010429788784,139.891574629084,0,0,0
"23",0,0,409.400178833196,113.037934380975,173.010429788784,136.257703433764,0,0,0
"24",0,0,409.400178833196,113.037934380975,173.010429788784,133.542195988354,0,0,0
"25",0,0,0,163.760071533278,245.640107299917,131.775964150429,0,0,0
"26",0,0,0,163.760071533278,245.640107299917,129.538072693334,0,0,0
"27",0,0,0,163.760071533278,245.640107299917,124.51819432014,0,0,0
"28",51.1573593810679,80.0604794162694,-55.5424562895224,163.760071533278,245.640107299917,186.693116644845,0,0,9.00680393433031
"29",255.233091323151,240.408882792604,-47.3024472610456,163.760071533278,245.640107299917,301.145197612099,0,0,18.0391953798377
"30",306.367154528966,363.911270073952,12.2647929281421,163.760071533278,245.640107299917,357.085602819277,0,0,13.8940185691516
"31",245.430619805405,363.911270073952,147.598246317611,163.760071533278,245.640107299917,295.685813353959,0,0,0
