"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0,1030,135,340,111.64327305096,0,0,0
"2",0,0,1030,135,340,109.803320846321,0,0,0
"3",0,0,1030,135,340,107.514305735324,0,0,0
"4",24.2093019781061,34.5,1004.11213566446,135,340,131.243170603451,1.69465113846743,9.775,3.88125
"5",178.844559713647,154.3125,992.108990672371,135,340,219.75316616622,12.5191191799553,33.946875,13.47890625
"6",264.808393407611,300,973.644392592387,135,340,290.841455266208,18.5365875385328,41.278125,16.38984375
"7",169.846023911215,300,1045.40124281672,135,340,230.0645930532,11.889221673785,0,0
"8",171.279355869511,300,1126.05737016081,135,340,186.563286286511,11.9895549108658,0,0
"9",200.252582718577,300,1253.26267891511,135,340,162.559744651673,14.0176807903004,0,0
"10",126.691019751053,276,1330.0170015407,135,340,149.617762429316,8.86837138257374,0,0
"11",0,0,1308.35071631464,135,340,144.130032595342,0,0,0
"12",0,0,1308.35071631464,135,340,141.438403113237,0,0,0
"13",0,0,888.861685488386,105.556715580605,296.287228496129,139.45206027543,0,0,0
"14",0,0,888.861685488386,105.556715580605,296.287228496129,137.732357006877,0,0,0
"15",0,0,888.861685488386,105.556715580605,296.287228496129,134.008562305299,0,0,0
"16",10.6909691959692,21.697769313791,867.980163863106,105.556715580605,296.287228496129,145.896769015845,0.748367843717847,6.85164215897298,2.44099904780149
"17",134.935705509058,122.416468763618,842.35900182233,105.556715580605,296.287228496129,215.83470163309,9.44549938563406,31.8045821838813,11.3308536881056
"18",228.664398553342,234.570479068011,851.251115656525,105.556715580605,296.287228496129,261.757683479655,16.006507898734,35.4155827811779,12.6173261592442
"19",207.762750532148,234.570479068011,981.111963236558,105.556715580605,296.287228496129,203.676016416197,14.5433925372503,0,0
"20",238.29208522554,234.570479068011,1147.13467534122,105.556715580605,296.287228496129,165.356419047521,16.6804459657878,0,0
"21",192.359928698489,234.570479068011,1285.13365441463,105.556715580605,296.287228496129,144.915593996646,13.4651950088942,0,0
"22",38.6265249294912,192.347792835769,1295.25299061077,105.556715580605,296.287228496129,135.374746363378,2.70385674506438,0,0
"23",0,0,1284.41183336632,105.556715580605,296.287228496129,131.858205837704,0,0,0
"24",0,0,1284.41183336632,105.556715580605,296.287228496129,129.230376873415,0,0,0
"25",0,0,869.512186333956,125.062251587708,289.837395444652,127.521173244019,0,0,0
"26",0,0,869.512186333956,125.062251587708,289.837395444652,125.355538971932,0,0,0
"27",0,0,869.512186333956,125.062251587708,289.837395444652,120.497742758343,0,0,0
"28",38.8824567578231,61.1415452206575,821.428180233339,125.062251587708,289.837395444652,166.703446535775,2.72177197304762,15.9410567494559,6.87842383732397
"29",211.812051337474,183.598333233622,832.771088210501,125.062251587708,289.837395444652,251.932947975416,14.8268435936232,31.9274005919499,13.7763886514585
"30",316.733568937376,277.916114639352,947.763471582208,125.062251587708,289.837395444652,291.714703874114,22.1713498256163,24.5908915197572,10.6107504081446
"31",264.37587300561,277.916114639352,1124.08332379934,125.062251587708,289.837395444652,241.555242780206,18.5063111103927,0,0
"32",214.076666691852,277.916114639352,1257.16309570044,125.062251587708,289.837395444652,203.021701468972,14.9853666684297,0,0
